M,Opponent,Date,Result,Event
1,Sweden,"August 20, 1916",3–2,Friendly
2,Norway,"September 3, 1916",1–1,Friendly
3,Estonia,"May 25, 1924",1–0,1924 Summer Olympics R32
4,Uruguay,"May 29, 1924",0–3,1924 Summer Olympics R16
5,Poland,"June 10, 1924",3–2,Friendly
6,Irish Free State,"June 16, 1924",1–3,Friendly
7,Canada,"June 27, 1925",0–1,Friendly
8,Canada,"November 8, 1925",6–1,Friendly
9,Canada,"November 6, 1926",6–2,Friendly
10,Argentina,"May 29, 1928",2–11,1928 Summer Olympics R16
11,Poland,"June 10, 1928",3–3,Friendly
12,Belgium,"July 13, 1930",3–0,World Cup GS
13,Paraguay,"July 17, 1930",3–0,World Cup GS
14,Argentina,"July 26, 1930",1–6,World Cup SF
15,Brazil,"August 17, 1930",3–4,Friendly
16,Mexico,"May 24, 1934",4–2,World Cup Q
17,Italy,"May 27, 1934",1–7,World Cup 1R
18,Italy,"August 3, 1936",0–1,1936 Summer Olympics 1R
19,Mexico,"September 12, 1937",2–7,Friendly
20,Mexico,"September 19, 1937",3–7,Friendly
21,Mexico,"September 26, 1937",1–5,Friendly
22,Mexico,"July 13, 1947",0–5,North American Championship
23,Cuba,"July 20, 1947",2–5,North American Championship
24,Norway,"August 6, 1948",0–11,Friendly
25,Northern Ireland,"August 11, 1948",0–5,Friendly
26,Israel,"September 26, 1948",3–1,Friendly
27,Mexico,"September 4, 1949",0–6,"North American Championship
World Cup Q"
28,Cuba,"September 14, 1949",1–1,"North American Championship
World Cup Q"
29,Mexico,"September 18, 1949",2–6,"North American Championship
World Cup Q"
30,Cuba,"September 21, 1949",5–2,"North American Championship
World Cup Q"
31,Spain,"June 25, 1950",1–3,World Cup GS
32,England,"June 29, 1950",1–0,World Cup GS
33,Chile,"July 2, 1950",2–5,World Cup GS
34,Scotland,"April 30, 1952",0–5,Friendly
35,Italy,"July 16, 1952",0–8,1952 Summer Olympics
36,England,"June 8, 1953",3–6,Friendly
37,Mexico,"January 10, 1954",0–4,World Cup Q
38,Mexico,"January 14, 1954",1–3,World Cup Q
39,Haiti,"March 3, 1954",3–2,World Cup Q
40,Haiti,"March 4, 1954",3–0,World Cup Q
41,Iceland,"August 25, 1955",2–3,Friendly
42,Yugoslavia,"November 28, 1956",0–8,1956 Summer Olympics
43,Mexico,"April 7, 1957",0–6,World Cup Q
44,Mexico,"April 28, 1957",2–7,World Cup Q
45,Canada,"June 22, 1957",1–5,World Cup Q
46,Canada,"July 6, 1957",2–3,World Cup Q
47,England,"May 28, 1959",1–8,Friendly
48,Mexico,"November 6, 1960",3–3,World Cup Q
49,Mexico,"November 13, 1960",0–3,World Cup Q
50,Colombia,"February 5, 1961",0–2,Friendly
51,England,"May 27, 1964",0–10,Friendly
52,Mexico,"March 7, 1965",2–2,World Cup Q
53,Mexico,"March 12, 1965",0–2,World Cup Q
54,Honduras,"March 17, 1965",1–0,World Cup Q
55,Honduras,"March 21, 1965",1–1,World Cup Q
56,Israel,"September 15, 1968",3–3,Friendly
57,Israel,"September 25, 1968",0–4,Friendly
58,Canada,"October 13, 1968",2–4,World Cup Q
59,Haiti,"October 20, 1968",6–3,Friendly
60,Haiti,"October 21, 1968",2–5,Friendly
61,Haiti,"October 23, 1968",0–1,Friendly
62,Canada,"October 26, 1968",1–0,World Cup Q
63,Bermuda,"November 3, 1968",6–2,World Cup Q
64,Bermuda,"November 11, 1968",2–0,World Cup Q
65,Haiti,"April 20, 1969",0–2,World Cup Q
66,Haiti,"May 11, 1969",0–1,World Cup Q
67,Canada,"August 20, 1972",2–3,CONCACAF Champ. Q/World Cup Q
68,Canada,"August 29, 1972",2–2,CONCACAF Champ. Q/World Cup Q
69,Mexico,"September 3, 1972",1–3,CONCACAF Champ. Q/World Cup Q
70,Mexico,"September 10, 1972",1–2,CONCACAF Champ. Q/World Cup Q
71,Bermuda,"March 17, 1973",0–4,Friendly
72,Poland,"March 20, 1973",0–4,Friendly
73,Poland,"August 3, 1973",0–1,Friendly
74,Canada,"August 5, 1973",2–0,Friendly
75,Poland,"August 10, 1973",0–4,Friendly
76,Poland,"August 12, 1973",1–0,Friendly
77,Bermuda,"September 9, 1973",1–0,Friendly
78,Mexico,"October 16, 1973",0–2,Friendly
79,Haiti,"November 3, 1973",0–1,Friendly
80,Haiti,"November 5, 1973",0–1,Friendly
81,Israel,"November 13, 1973",1–3,Friendly
82,Israel,"November 15, 1973",0–2,Friendly
83,Mexico,"September 5, 1974",1–3,Friendly
84,Mexico,"September 8, 1974",0–1,Friendly
85,Poland,"March 26, 1975",0–7,Friendly
86,Poland,"June 24, 1975",0–4,Friendly
87,Costa Rica,"August 19, 1975",1–3,Mexico City Tournament
88,Argentina,"August 21, 1975",0–6,Mexico City Tournament
89,Mexico,"August 24, 1975",0–2,Mexico City Tournament
90,Canada,"September 24, 1976",1–1,CONCACAF Champ. Q/World Cup Q
91,Mexico,"October 3, 1976",0–0,CONCACAF Champ. Q/World Cup Q
92,Mexico,"October 15, 1976",0–3,CONCACAF Champ. Q/World Cup Q
93,Canada,"October 20, 1976",2–0,CONCACAF Champ. Q/World Cup Q
94,Haiti,"November 10, 1976",0–0,Friendly
95,Haiti,"November 12, 1976",0–0,Friendly
96,Haiti,"November 14, 1976",0–0,Friendly
97,Canada,"December 22, 1976",0–3,CONCACAF Champ. Q/World Cup Q
98,El Salvador,"September 15, 1977",2–1,Friendly
99,Guatemala,"September 18, 1977",1–3,Friendly
100,Guatemala,"September 25, 1977",0–2,Friendly
101,Mexico,"September 27, 1977",0–3,Friendly
102,El Salvador,"September 30, 1977",0–0,Friendly
103,China,"October 6, 1977",1–1,Friendly
104,China,"October 10, 1977",1–0,Friendly
105,China,"October 16, 1977",2–1,Friendly
106,Iceland,"September 3, 1978",0–0,Friendly
107,Switzerland,"September 6, 1978",0–2,Friendly
108,Portugal,"September 20, 1978",0–1,Friendly
109,Soviet Union,"February 3, 1979",1–3,Friendly
110,Soviet Union,"February 11, 1979",1–4,Friendly
111,France,"May 2, 1979",0–5,Friendly
112,Bermuda,"July 10, 1979",3–1,Friendly
113,France,"October 10, 1979",0–3,Friendly
114,Hungary,"October 26, 1979",2–0,Friendly
115,Republic of Ireland,"October 29, 1979",2–3,Friendly
116,Luxembourg,"October 4, 1980",2–0,Friendly
117,Portugal,"October 7, 1980",1–1,Friendly
118,Canada,"October 25, 1980",0–0,CONCACAF Champ. Q/World Cup Q
119,Canada,"November 1, 1980",1–2,CONCACAF Champ. Q/World Cup Q
120,Mexico,"November 9, 1980",1–5,CONCACAF Champ. Q/World Cup Q
121,Mexico,"November 23, 1980",2–1,CONCACAF Champ. Q/World Cup Q
122,Trinidad and Tobago,"March 21, 1982",2–1,Friendly
123,Haiti,"April 8, 1983",2–0,Friendly
124,Italy,"May 30, 1984",0–0,Friendly
125,Netherlands Antilles,"September 29, 1984",0–0,CONCACAF Champ. Q/World Cup Q
126,Netherlands Antilles,"October 6, 1984",4–0,CONCACAF Champ. Q/World Cup Q
127,El Salvador,"October 9, 1984",3–1,Friendly
128,Colombia,"October 11, 1984",1–0,Friendly
129,Guatemala,"October 14, 1984",0–4,Friendly
130,Mexico,"October 17, 1984",1–2,Friendly
131,Ecuador,"November 30, 1984",0–0,Friendly
132,Ecuador,"December 2, 1984",2–2,Friendly
133,Switzerland,"February 8, 1985",1–1,Friendly
134,Canada,"April 2, 1985",0–2,Friendly
135,Canada,"April 4, 1985",1–1,Friendly
136,Trinidad and Tobago,"May 14, 1985",2–1,CONCACAF Champ./World Cup Q
137,Trinidad and Tobago,"May 19, 1985",1–0,CONCACAF Champ./World Cup Q
138,Costa Rica,"May 26, 1985",1–1,CONCACAF Champ./World Cup Q
139,Costa Rica,"May 31, 1985",0–1,CONCACAF Champ./World Cup Q
140,England,"June 16, 1985",0–5,Friendly
141,Canada,"February 5, 1986",0–0,Miami Cup
142,Uruguay,"February 7, 1986",1–1,Miami Cup
143,Egypt,"June 8, 1987",1–3,President's Cup
144,South Korea,"June 12, 1987",0–1,President's Cup
145,Thailand,"June 16, 1987",1–0,President's Cup
146,Guatemala,"January 10, 1988",0–1,Friendly
147,Guatemala,"January 13, 1988",1–0,Friendly
148,Colombia,"May 14, 1988",0–2,Friendly
149,Chile,"June 1, 1988",1–1,Friendly
150,Chile,"June 3, 1988",1–3,Friendly
151,Chile,"June 5, 1988",0–3,Friendly
152,Ecuador,"June 7, 1988",0–1,Friendly
153,Ecuador,"June 10, 1988",0–2,Friendly
154,Ecuador,"June 12, 1988",0–0,Friendly
155,Costa Rica,"June 14, 1988",1–0,Friendly
156,Poland,"July 13, 1988",0–2,Friendly
157,Jamaica,"July 24, 1988",0–0,CONCACAF Champ. Q/World Cup Q
158,Jamaica,"August 13, 1988",5–1,CONCACAF Champ. Q/World Cup Q
159,Costa Rica,"April 16, 1989",0–1,CONCACAF Champ./World Cup Q
160,Costa Rica,"April 30, 1989",1–0,CONCACAF Champ./World Cup Q
161,Trinidad and Tobago,"May 13, 1989",1–1,CONCACAF Champ./World Cup Q
162,Peru,"June 4, 1989",3–0,Friendly
