M,Opponent,Date,Result,team_score,opponent_score,Event
1,Italy,"August 18, 1985",0–1,0,1,Mundialito
2,Denmark,"August 21, 1985",2–2,2,2,Mundialito
3,England,"August 23, 1985",1–3,1,3,Mundialito
4,Denmark,"August 24, 1985",0–1,0,1,Mundialito
5,Canada,"July 7, 1986",2–0,2,0,Friendly
6,Canada,"July 9, 1986",1–2,1,2,Friendly
7,Canada,"July 9, 1986",3–0,3,0,Friendly
8,China,"July 20, 1986",2–1,2,1,Mundialito
9,Brazil,"July 22, 1986",2–1,2,1,Mundialito
10,Japan,"July 25, 1986",3–1,3,1,Mundialito
11,Italy,"July 26, 1986",0–1,0,1,Mundialito
12,Norway,"July 5, 1987",3–0,3,0,Friendly
13,Canada,"July 7, 1987",4–2,4,2,Friendly
14,Sweden,"July 9, 1987",1–2,1,2,Friendly
15,Norway,"July 11, 1987",0–1,0,1,Friendly
16,China,"August 3, 1987",2–0,2,0,Friendly
17,China,"August 13, 1987",1–1,1,1,Friendly
18,Japan,"December 12, 1987",1–0,1,0,Women's World Invitational Tournament
19,New Zealand,"December 15, 1987",0–1,0,1,Women's World Invitational Tournament
20,Australia,"December 16, 1987",6–0,6,0,Women's World Invitational Tournament
21,Canada,"December 19, 1987",4–0,4,0,Women's World Invitational Tournament
22,Chinese Taipei,"December 20, 1987",1–2,1,2,Women's World Invitational Tournament
23,Japan,"June 1, 1988",5–2,5,2,FIFA Women's Invitation Tournament
24,Sweden,"June 3, 1988",1–1,1,1,FIFA Women's Invitation Tournament
25,Czechoslovakia,"June 5, 1988",0–0,0,0,FIFA Women's Invitation Tournament
26,Norway,"June 8, 1988",0–1,0,1,FIFA Women's Invitation Tournament Quarterfinal
27,West Germany,"July 22, 1988",2–1,2,1,Mundialito
28,Italy,"July 24, 1988",1–2,1,2,Mundialito
29,England,"July 27, 1988",0–2,0,2,Mundialito
30,France,"July 29, 1988",1–0,1,0,Mundialito
31,Poland,"June 21, 1989",0–0,0,0,Friendly
32,Norway,"July 25, 1990",4–0,4,0,Friendly
33,Canada,"July 27, 1990",4–1,4,1,Canada Cup
34,Norway,"July 29, 1990",4–2,4,2,Canada Cup
35,Soviet Union,"August 5, 1990",8–0,8,0,North America Cup
36,England,"August 9, 1990",3–0,3,0,North America Cup
37,West Germany,"August 11, 1990",3–0,3,0,North America Cup
38,Yugoslavia,"April 1, 1991",8–0,8,0,Grand Hotel Varna Tournament
39,Bulgaria,"April 2, 1991",3–0,3,0,Grand Hotel Varna Tournament
40,Hungary,"April 3, 1991",3–0,3,0,Grand Hotel Varna Tournament
41,France,"April 5, 1991",2–0,2,0,Grand Hotel Varna Tournament
42,Soviet Union,"April 7, 1991",5–0,5,0,Grand Hotel Varna Tournament
43,Mexico,"April 18, 1991",12–0,12,0,CONCACAF Championship
44,Martinique,"April 20, 1991",12–0,12,0,CONCACAF Championship
45,Trinidad and Tobago,"April 22, 1991",10–0,10,0,CONCACAF Championship
46,Haiti,"April 25, 1991",10–0,10,0,CONCACAF Championship SF
47,Canada,"April 28, 1991",5–0,5,0,CONCACAF Championship Final
48,France,"May 18, 1991",4–0,4,0,Friendly
49,England,"May 25, 1991",3–1,3,1,Friendly
50,Netherlands,"May 28, 1991",3–4,3,4,Friendly
51,Germany,"May 30, 1991",4–2,4,2,Friendly
52,Denmark,"June 5, 1991",0–1,0,1,Friendly
53,China,"August 4, 1991",1–2,1,2,Friendly
54,China,"August 8, 1991",2–2,2,2,Friendly
55,China,"August 10, 1991",3–0,3,0,Friendly
56,Norway,"August 30, 1991",0–1,0,1,Friendly
57,Norway,"September 1, 1991",1–2,1,2,Friendly
58,China,"October 4, 1991",1–2,1,2,Friendly
59,China,"October 12, 1991",2–0,2,0,Friendly
60,Sweden,"November 17, 1991",3–2,3,2,World Cup
61,Brazil,"November 19, 1991",5–0,5,0,World Cup
62,Japan,"November 21, 1991",3–0,3,0,World Cup
63,Chinese Taipei,"November 24, 1991",7–0,7,0,World Cup QF
64,Germany,"November 27, 1991",5–2,5,2,World Cup SF
65,Norway,"November 30, 1991",2–1,2,1,World Cup F
66,Norway,"August 14, 1992",1–3,1,3,Friendly
67,Norway,"August 16, 1992",2–4,2,4,Friendly
68,Denmark,"March 11, 1993",2–0,2,0,Cyprus Tournament
69,Norway,"March 12, 1993",0–1,0,1,Cyprus Tournament
70,Germany,"March 14, 1993",0–1,0,1,Cyprus Tournament
71,Germany,"April 7, 1993",1–2,1,2,Friendly
72,Germany,"April 10, 1993",3–0,3,0,Friendly
73,Canada,"June 12, 1993",7–0,7,0,Columbus Cup
74,Italy,"June 15, 1993",5–0,5,0,Columbus Cup
75,Italy,"June 19, 1993",1–0,1,0,Columbus Cup
76,Canada,"June 21, 1993",3–0,3,0,Columbus Cup
77,Australia,"July 7, 1993",6–0,6,0,Friendly
78,Japan,"July 10, 1993",7–0,7,0,Friendly
79,Chinese Taipei,"July 12, 1993",3–1,3,1,Friendly
80,Russia,"July 14, 1993",2–0,2,0,Friendly
81,China,"July 17, 1993",1–2,1,2,Friendly
82,New Zealand,"August 4, 1993",3–0,3,0,CONCACAF Championship
83,Trinidad and Tobago,"August 6, 1993",9–0,9,0,CONCACAF Championship
84,Canada,"August 8, 1993",1–0,1,0,CONCACAF Championship
85,Portugal,"March 16, 1994",5–0,5,0,Algarve Cup
86,Sweden,"March 18, 1994",1–0,1,0,Algarve Cup
87,Norway,"March 20, 1994",0–1,0,1,Algarve Cup Final
88,Trinidad and Tobago,"April 10, 1994",3–1,3,1,Tri-Nations Tournament
89,Canada,"April 14, 1994",4–1,4,1,Tri-Nations Tournament
90,Canada,"April 17, 1994",3–0,3,0,Tri-Nations Tournament
91,Germany,"July 31, 1994",2–1,2,1,Chiquita Cup
92,China,"August 3, 1994",1–0,1,0,Chiquita Cup
93,Norway,"August 7, 1994",4–1,4,1,Chiquita Cup
94,Mexico,"August 13, 1994",9–0,9,0,CONCACAF Championship
95,Trinidad and Tobago,"August 17, 1994",11–1,11,1,CONCACAF Championship
96,Jamaica,"August 19, 1994",10–0,10,0,CONCACAF Championship
97,Canada,"August 21, 1994",6–0,6,0,CONCACAF Championship
98,Denmark,"February 24, 1995",7–0,7,0,Friendly
99,Finland,"March 14, 1995",2–0,2,0,Algarve Cup
100,Portugal,"March 16, 1995",3–0,3,0,Algarve Cup
101,Denmark,"March 17, 1995",0–2,0,2,Algarve Cup
102,Norway,"March 19, 1995",3(2)–3(4),2,4,Algarve Cup
103,Italy,"April 11, 1995",3–0,3,0,Tournoi International Feminin
104,Canada,"April 12, 1995",5–0,5,0,Tournoi International Feminin
105,France,"April 15, 1995",3–0,3,0,Tournoi International Feminin
106,Finland,"April 28, 1995",2–0,2,0,Friendly
107,Finland,"April 30, 1995",6–0,6,0,Friendly
108,Brazil,"May 12, 1995",3–0,3,0,Friendly
109,Brazil,"May 14, 1995",4–1,4,1,Friendly
110,Canada,"May 19, 1995",9–1,9,1,Friendly
111,Canada,"May 22, 1995",2–1,2,1,Friendly
112,China,"June 6, 1995",3–3,3,3,World Cup
113,Denmark,"June 8, 1995",2–0,2,0,World Cup
114,Australia,"June 10, 1995",4–1,4,1,World Cup
115,Japan,"June 13, 1995",4–0,4,0,World Cup QF
116,Norway,"June 15, 1995",0–1,0,1,World Cup SF
117,China,"June 17, 1995",2–0,2,0,World Cup 3rd Place
118,Chinese Taipei,"July 30, 1995",9–0,9,0,US Cup
119,Australia,"August 3, 1995",4–2,4,2,US Cup
120,Norway,"August 6, 1995",2–1,2,1,US Cup
121,Russia,"January 14, 1996",8–1,8,1,Torneio do Brasil
122,Brazil,"January 16, 1996",3–2,3,2,Torneio do Brasil
123,Ukraine,"January 18, 1996",6–0,6,0,Torneio do Brasil
124,Brazil,"January 20, 1996",1(3)–1(2),3,2,Torneio do Brasil
125,Norway,"February 2, 1996",3–2,3,2,Friendly
126,Norway,"February 4, 1996",1–2,1,2,Friendly
127,Denmark,"February 10, 1996",2–1,2,1,Friendly
128,Sweden,"February 15, 1996",3–0,3,0,Friendly
129,Sweden,"February 17, 1996",3–0,3,0,Friendly
130,Germany,"March 14, 1996",6–0,6,0,Friendly
131,Germany,"March 16, 1996",2–0,2,0,Friendly
132,Netherlands,"April 20, 1996",6–0,6,0,Friendly
133,France,"April 26, 1996",4–1,4,1,Friendly
134,France,"April 28, 1996",8–2,8,2,Friendly
135,Canada,"May 12, 1996",6–0,6,0,USA Cup
136,Japan,"May 16, 1996",4–0,4,0,USA Cup
137,China,"May 18, 1996",1–0,1,0,USA Cup
138,Australia,"July 4, 1996",2–1,2,1,Friendly
139,Australia,"July 6, 1996",2–1,2,1,Friendly
140,Denmark,"July 21, 1996",3–0,3,0,Olympics
141,Sweden,"July 23, 1996",2–1,2,1,Olympics
142,China,"July 25, 1996",0–0,0,0,Olympics
143,Norway,"July 28, 1996",2–1 AET,2,1,Olympics SF
144,China,"August 1, 1996",2–1,2,1,Olympics F
145,Australia,"February 28, 1997",4–0,4,0,Friendly
146,Australia,"March 3, 1997",3–1,3,1,Friendly
147,Australia,"March 5, 1997",3–0,3,0,Friendly
148,France,"April 24, 1997",4–2,4,2,Friendly
149,France,"April 27, 1997",2–1,2,1,Friendly
150,South Korea,"May 2, 1997",7–0,7,0,Friendly
151,South Korea,"May 4, 1997",6–1,6,1,Friendly
152,England,"May 9, 1997",5–0,5,0,Friendly
153,England,"May 11, 1997",6–0,6,0,Friendly
154,Canada,"May 31, 1997",4–0,4,0,USA Cup
155,Australia,"June 5, 1997",9–1,9,1,USA Cup
156,Italy,"June 8, 1997",2–0,2,0,USA Cup
157,Germany,"October 9, 1997",1–3,1,3,Friendly
158,Germany,"October 12, 1997",3–0,3,0,Friendly
159,Sweden,"October 30, 1997",3–1,3,1,Friendly
160,Sweden,"November 1, 1997",3–1,3,1,Friendly
161,Brazil,"December 11, 1997",2–1,2,1,Friendly
162,Brazil,"December 13, 1997",0–1,0,1,Friendly
163,Sweden,"January 18, 1998",3–0,3,0,Four Nations Tournament
164,China,"January 21, 1998",0–0,0,0,Four Nations Tournament
165,Norway,"January 24, 1998",3–0,3,0,Four Nations Tournament
166,Finland,"March 15, 1998",2–0,2,0,Algarve Cup
167,China,"March 17, 1998",4–1,4,1,Algarve Cup
168,Norway,"March 19, 1998",1–4,1,4,Algarve Cup
169,Sweden,"March 21, 1998",3–1,3,1,Algarve Cup
